meanunitssoldperproduct,meandiscount,rating,meanproductprices,urgencytextrate,meanproductratingscount,meanretailprices,merchantid,averagediscount,totalunitssold,listedproducts,merchantratingscount,totalurgencycount
1000.0,84.0,3.989,8.0,100.0,154.0,49.0,5b4d6eb88a5b7b24519e69ad,84.0,1000,1,5422.0,1
100.0,48.0,3.95,13.0,100.0,79.0,25.0,5541ba455252290c0b225b1f,48.0,100,1,27764.0,1
5000.0,74.0,4.217,7.0,50.0,542.0,26.0,57fc688ffcd3bb1955cb6f31,74.0,10000,2,8242.0,1
100.0,0.0,4.056,3.0,100.0,8.0,3.0,5c6d6c28619caa1d94891d06,0.0,100,1,1086.0,1
10000.0,-14.0,3.897,8.0,100.0,1467.0,7.0,59a2e74a8696be0eeb7a7ba9,-14.0,10000,1,8563.0,1
3367.0,51.33,4.014,6.67,33.0,306.0,27.33,57fde031235aaa1926afe803,51.0,10100,3,15348.0,1
1000.0,86.0,3.967,7.0,100.0,408.0,50.0,5a031e9c9aee09542077d074,86.0,1000,1,12763.0,1
83.0,-14.0,3.545,8.0,33.0,6.0,7.0,5eb50ff17041111c43033565,-14.0,250,3,211.0,1
100.0,-16.0,4.079,4.67,50.0,82.0,4.0,583141fbfef4094e51453d9b,-16.0,200,2,7497.0,1
5000.0,17.0,4.048,5.0,50.0,824.0,6.0,58d20e95c7b73b52c9670c22,17.0,10000,2,32778.0,1
1000.0,64.0,4.191,8.0,100.0,638.0,22.0,59bcfadb776ab96ae984be82,64.0,1000,1,9034.0,1
10500.0,-12.0,4.023,9.5,100.0,1127.0,8.5,58b011e82e27bf506cee1ace,-12.0,21000,2,5281.0,2
10.0,0.0,3.837,5.0,50.0,0.0,5.0,5a3231f2e62bbc45b0bda1dd,0.0,20,2,129.0,1
2333.0,26.67,4.062,8.67,33.0,266.0,24.33,5ae296b6cd968d66be12d247,27.0,7000,3,3592.0,1
5000.0,-4.5,3.775,8.5,50.0,486.0,8.0,585037af728de662411bd39a,-4.0,10000,2,6876.0,1
10.0,64.0,4.295,11.0,100.0,0.0,30.0,56025ed8293a5b2d24779bde,64.0,10,1,22621.0,1
1000.0,73.0,4.017,6.0,100.0,518.0,22.0,584ae0173961b64ca9b426b1,73.0,1000,1,4233.0,1
2550.0,65.0,4.114,7.5,50.0,310.0,21.0,57c306d73a698c06f98ed450,65.0,10200,4,9827.0,2
1000.0,16.0,3.942,1.68,100.0,51.0,2.0,5d5b651b283abc16408fff54,16.0,1000,1,365.0,1
1000.0,73.0,3.855,6.0,100.0,47.0,22.0,57878a7316b28907b9b50131,73.0,1000,1,15812.0,1
100.0,91.0,4.365,3.69,100.0,59.0,40.0,58501ac7b9e3474c9f4b2afd,91.0,100,1,10917.0,1
100.0,0.0,4.221,2.0,50.0,34.0,2.0,5d5108577ad24261ddf720f0,0.0,200,2,620.0,1
1000.0,0.0,4.095,5.0,100.0,252.0,5.0,55d480c092e9ba1242bd816a,0.0,1000,1,15948.0,1
400.0,8.67,3.959,3.12,50.0,97.0,3.33,56fba259138ef73c2a749a56,9.0,2400,6,5654.0,3
1000.0,77.0,4.382,7.0,50.0,179.0,30.0,59aebfa350df6107c1eff8c8,77.0,2000,2,13625.0,1
550.0,59.5,4.003,5.89,50.0,84.0,21.5,5ae7cee3a71fbf0725de5d43,60.0,2200,4,2044.0,2
550.0,-6.5,4.054,5.33,50.0,131.0,5.0,5a9e3a01ccf0c80c2d372870,-6.0,1100,2,9857.0,1
